age,d13Cmarker,d13Cmarker.sd,d13Cpf,d13Cpf.sd,len.lith,len.lith.sd,Uk37,Uk37.sd,iceco2,,,
16.59,-23.87,0.04,1.92,0.1,,,0.97,0.05,238,,,
29.99,-23.54,0.06,1.86,0.1,3.47,0.86,0.96,0.05,194,,,
39.55,-24.05,0.21,1.93,0.1,3.03,0.86,0.97,0.05,201,,,
49.1,-23.81,0.08,1.98,0.1,3.26,0.86,0.94,0.05,210,,,
61.48,-23.97,0.24,1.71,0.1,3.14,0.86,0.96,0.05,203,,,
74.69,-24.34,0.11,2.11,0.1,2.85,0.86,0.98,0.05,233,,,
89.39,-24.24,0.2,2.07,0.1,2.58,0.86,0.98,0.05,234,,,
101.37,-23.99,0.05,2.22,0.1,2.77,0.86,0.98,0.05,235,,,
115.89,-24.38,0.08,1.93,0.1,,,0.98,0.05,249,,,
132.5,-24.65,0.03,1.58,0.1,,,0.99,0.05,213,,,
143.27,-24.39,0.16,1.1,0.1,2.98,0.86,0.98,0.05,205,,,
153.69,-24.17,0.15,1.6,0.1,,,0.96,0.05,196,,,
165.54,-24.56,0.2,1.79,0.1,,,0.96,0.05,214,,,
