"","V1","V2","V3"
"1",2.00792845288242e-06,-6.5118691562959e-12,1.06686352193656e-05
"2",1.62960769083511e-06,-5.18170415447474e-12,9.34368014338468e-06
"3",1.83925453963511e-06,-7.63586889406853e-12,1.2975646209283e-05
"4",7.76520004829529e-07,-4.98075840748529e-12,9.2654432546261e-06
"5",-2.06036827698227e-07,-6.69453616662845e-12,1.31044396505159e-05
"6",1.02084832151245e-06,-5.11744862048303e-12,9.67626394262852e-06
"7",1.66969040047126e-07,-8.00790830071974e-12,1.43555121651203e-05
"8",2.17782934215292e-09,-6.22519478594851e-12,1.16117878163351e-05
"9",1.22026189742543e-06,-7.81028650471878e-12,1.33587414473272e-05
"10",4.55619268217258e-07,-6.21107565301193e-12,1.16103252090103e-05
"11",9.55483326522141e-07,-5.62291770999909e-12,1.05827780398104e-05
"12",6.38931475114376e-07,-1.04620756230665e-11,1.77604080372307e-05
"13",6.63945921195398e-07,-6.96259307545902e-12,1.30648965123454e-05
"14",1.52614731153632e-06,-4.78534417854943e-12,9.36130058680736e-06
"15",-4.48327097067156e-07,-5.2375476644456e-12,1.16838085726492e-05
"16",5.54820558053246e-07,-5.393755407198e-12,1.10945871987328e-05
"17",1.08668793896043e-06,-6.28610483495241e-12,1.13286768179039e-05
"18",2.07264290323765e-06,-6.02617690417576e-12,1.07160221744255e-05
"19",6.77010069349832e-07,-6.35363298681306e-12,1.20641535588454e-05
"20",8.84980220142141e-07,-6.21216642958113e-12,1.14725347721713e-05
"21",7.18140011349909e-07,-5.57107687652181e-12,1.086888730655e-05
"22",1.252880336302e-09,-4.85971808500759e-12,1.06275089014395e-05
"23",1.38564587319085e-06,-6.87842073443346e-12,1.20174859105204e-05
"24",1.3975928150818e-06,-5.55402950577376e-12,9.72978363729462e-06
"25",1.15447672482118e-06,-6.83506497421988e-12,1.12606054436012e-05
"26",-9.75702800277136e-07,-5.46181373027747e-12,1.19644270331323e-05
"27",-6.11806430176474e-07,-6.77441750904233e-12,1.27033471372454e-05
"28",6.7122094642267e-07,-6.59379199060162e-12,1.26298964333085e-05
"29",1.56491600553845e-06,-6.98824727994159e-12,1.14937996254815e-05
"30",5.36823099261169e-07,-5.53479862875511e-12,1.04157436751849e-05
"31",1.77627941737655e-06,-6.11799765372532e-12,1.13656805471357e-05
"32",5.70124918913095e-07,-7.02594467909887e-12,1.24787753299314e-05
"33",1.48351693261042e-06,-8.26721820699554e-12,1.43003076730742e-05
"34",5.52880018634368e-07,-8.59350088666236e-12,1.49914037162104e-05
"35",8.47498441708621e-07,-7.42940878130755e-12,1.34135877540868e-05
"36",-3.56713845744097e-07,-7.25004213693824e-12,1.35496390473243e-05
"37",4.53663460134218e-07,-5.63264901410616e-12,1.06733618381374e-05
"38",1.3642065549996e-06,-6.55988736982783e-12,1.08884061783822e-05
"39",1.50476018856349e-06,-6.6162515525749e-12,1.11001246916957e-05
"40",4.12626708730364e-07,-6.31375738767106e-12,1.22860377387831e-05
"41",3.18750404067708e-07,-5.32012114651148e-12,1.0622122658113e-05
"42",1.38867899083806e-06,-6.86869875830572e-12,1.20365327230442e-05
"43",2.57915869337698e-06,-5.51604786732747e-12,9.20342539232949e-06
"44",1.86427929067425e-06,-5.65286744160034e-12,1.0035027739775e-05
"45",-1.59793906209873e-08,-5.37120758342e-12,1.14647830835719e-05
"46",5.2951508513976e-07,-5.9767355464417e-12,1.17794491880132e-05
"47",7.56079536748343e-07,-5.70351097637917e-12,1.04164926256676e-05
"48",1.50283045880458e-06,-5.72318451888861e-12,1.06677329312684e-05
"49",8.09192074785563e-07,-5.00668170019136e-12,9.72956422670083e-06
"50",1.37889395442872e-06,-6.65135183647373e-12,1.09905682225176e-05
"51",1.67327241845711e-06,-6.77686669315112e-12,1.10602318588548e-05
"52",2.77052943775651e-07,-4.92195188769569e-12,1.04130292104709e-05
"53",1.39143556828358e-06,-6.47070525210725e-12,1.17166323301998e-05
"54",4.36535746493367e-07,-5.84026444041003e-12,1.0971701322849e-05
"55",6.00432673694129e-07,-7.36021499524156e-12,1.37661446898767e-05
