"","V1","V2","V3"
"1",5.74144776759538e-07,-3.48713975541399e-06,2.15328653517818e-05
"2",-2.782695539352e-08,-3.79129074800197e-06,2.16322902646793e-05
"3",-3.34828968147266e-07,-2.86343904978646e-06,2.11974932014862e-05
"4",2.03633381047007e-08,-4.91916717042013e-06,2.38429414888802e-05
"5",-2.31016315525743e-07,-4.8774189854047e-06,2.37620714905484e-05
"6",9.66990771742234e-08,-3.05935981732976e-06,1.99465191071821e-05
"7",6.05117441528194e-07,-3.462394113922e-06,2.14984100200936e-05
"8",1.55448616979886e-08,-3.86238918728556e-06,2.19232508252919e-05
"9",-8.34831766890749e-07,-3.19918881339242e-06,2.08715952291915e-05
"10",8.0505155507755e-07,-4.52956744815287e-06,2.26495083551848e-05
"11",7.90589768234718e-07,-4.45528049456875e-06,2.34345170535397e-05
"12",-3.07684374043694e-07,-4.62937393820268e-06,2.35474117922793e-05
"13",-8.69435241249503e-07,-1.11914966954215e-06,1.78261012240671e-05
"14",-1.72158462665875e-07,-4.08506307418411e-06,2.25459734329069e-05
"15",3.92281419786493e-07,-3.16508301450054e-06,2.13173506168606e-05
"16",1.11039782351024e-06,-1.37516279152651e-06,1.82271961406178e-05
"17",1.24505021922137e-06,-4.32236894926912e-06,2.17013473259603e-05
"18",9.48573044165045e-07,-6.19036091311044e-07,1.6954484220053e-05
"19",4.52786283167594e-07,-4.37242262136806e-06,2.18540286864315e-05
"20",1.41381991118373e-06,-2.18710775229141e-06,1.97699810171135e-05
"21",2.7778378374918e-07,-4.30333949053832e-06,2.25820017622982e-05
"22",1.50015104579399e-06,-2.98213842463951e-06,1.93804290439079e-05
"23",-1.71170653739522e-07,-4.869080041572e-06,2.45258613007326e-05
"24",9.93943185571723e-07,-4.21040267954862e-06,2.15915848159752e-05
"25",-3.87239491588795e-07,-1.69211326394819e-06,1.90542936037899e-05
"26",5.02692582302502e-07,-2.97930817760769e-06,2.01687257842118e-05
"27",-8.62013581792621e-08,-8.2081448193749e-07,1.72714392007645e-05
"28",1.22025328953316e-06,-2.83658422305294e-06,1.89886139915953e-05
"29",-6.66252410203696e-08,-4.14539749908064e-06,2.17416994218249e-05
"30",-1.27906969213986e-07,-1.50559302600989e-06,1.85132112992634e-05
"31",9.61751003391613e-07,-3.58594754938579e-06,2.1017030735386e-05
"32",4.13643985284238e-07,-3.87322221164171e-06,2.18254427859236e-05
"33",5.00596264111121e-07,-1.7897727239602e-06,1.85554977107608e-05
"34",-3.51561043078218e-07,-3.66348786994027e-06,2.09084305052187e-05
"35",2.74405217655126e-07,-3.9357931763419e-06,2.16120501985048e-05
"36",-4.2880981187283e-07,-4.64865217561091e-06,2.42414028237918e-05
"37",3.21502209311787e-07,-3.45474188598942e-06,2.09857924007946e-05
"38",6.10189459085943e-08,-6.99594471943693e-07,1.72138389198789e-05
"39",1.66641323445976e-06,-2.99227158623806e-06,2.07846630366866e-05
"40",-4.18113768538608e-07,-3.15011755198117e-06,2.24623477973333e-05
"41",1.2607868885418e-06,-3.99011557661845e-06,2.28125685433183e-05
"42",-7.17691519239171e-08,-4.75322446954051e-06,2.32963701273259e-05
"43",1.1005513685945e-06,-2.73865548963568e-06,2.04105275295207e-05
"44",-1.23380465749575e-08,-3.26010556146987e-06,2.08474264466024e-05
"45",2.33267710718461e-07,-3.36170700954612e-06,2.22494518790971e-05
"46",9.00829861280777e-07,-3.76476556951847e-06,2.10244812502084e-05
"47",-4.70024099567486e-07,-2.0076848336089e-06,1.91997166170033e-05
"48",-1.07177908695063e-06,-3.01746540082801e-06,2.1388819931601e-05
"49",-3.72995981652396e-08,-4.86205392506844e-06,2.34652455162549e-05
"50",-1.01446400427244e-06,-3.27067509371764e-06,2.24613183827361e-05
"51",1.5477283533286e-06,-3.30570751471153e-06,2.01199431140129e-05
"52",3.28628755685581e-07,-4.27046871867481e-06,2.15778070479126e-05
"53",1.62656251589094e-07,-3.69993687393693e-06,2.11009066670826e-05
"54",1.80443603189771e-07,-2.55783314692733e-06,2.05475667690527e-05
"55",7.83648077527821e-07,-3.25690609369696e-06,2.03547877527622e-05
"56",-2.46854766241851e-07,-4.83413638670349e-06,2.37951170930878e-05
"57",-4.57179537149366e-07,-3.06718806931588e-06,2.06159513272277e-05
"58",-1.83477569967728e-07,-3.68349001970817e-06,2.25547521701916e-05
"59",1.23286077043128e-06,-3.94809921336116e-06,2.15228178888275e-05
"60",4.67003125140836e-07,-3.71192928859623e-06,2.11072612263212e-05
"61",1.77215091472955e-07,-5.30611619466415e-07,1.69705521455423e-05
"62",3.1198131715347e-07,-3.76613612720586e-06,2.14040025663155e-05
"63",4.36849261877778e-07,-3.70644394235651e-06,2.10434660867521e-05
"64",-2.16947085580148e-08,-3.37831093334826e-06,2.25217887531661e-05
"65",7.09837664783581e-07,-4.43354859411956e-06,2.2564692258751e-05
"66",2.89471550827576e-07,-4.45385725809184e-06,2.21028150173644e-05
"67",-3.18988196033679e-07,-2.14472174398214e-06,2.08794017136694e-05
"68",-3.65451951568892e-07,-2.96647217282266e-06,2.04586481918187e-05
"69",1.31692050519033e-06,-3.64868287685241e-06,2.13671934536677e-05
"70",6.93281802396089e-07,-3.13493776558201e-06,2.00611789008536e-05
"71",8.81006380421123e-07,-1.74366557351806e-06,1.92792326123838e-05
"72",1.35139002790102e-07,-4.55533134480193e-06,2.18551017052607e-05
"73",7.17659721564372e-07,-4.80940250962475e-06,2.37025295816764e-05
"74",-1.61447421084437e-08,-4.58924969214985e-07,1.66253262233696e-05
"75",-6.99157643384363e-07,-1.56724867764913e-06,1.90273133054231e-05
"76",6.6576535648463e-07,-5.15733946461907e-07,1.66643872353914e-05
"77",7.76872289586767e-07,-3.45590364776987e-06,2.12382107226055e-05
"78",1.44926626005431e-06,-4.37867748118769e-06,2.2148962432566e-05
"79",9.99992041668166e-08,-5.06970862096921e-06,2.35835872987278e-05
"80",1.05686003824289e-06,-2.03795034781743e-06,1.91698080373459e-05
"81",3.47261924076146e-07,-1.76018280315077e-06,1.90440593765451e-05
"82",1.20630668075935e-06,-2.78084926307344e-06,1.93269502784896e-05
"83",8.25473929415621e-07,-4.49847132349982e-06,2.33529984726272e-05
"84",2.66088835579837e-07,-4.13840359956001e-06,2.38297549718518e-05
"85",2.08829656253276e-07,-5.05924400955533e-06,2.4476662663662e-05
"86",-4.68212009120479e-07,-3.57257006789563e-06,2.15582257110103e-05
"87",2.1101410667057e-06,-2.24449361437856e-06,1.97542374364651e-05
"88",3.37195746982088e-07,-4.50001262098163e-06,2.16749590550461e-05
"89",3.59505887722268e-07,-6.87148933415796e-07,1.66308067023722e-05
"90",7.91841025981843e-07,-4.95101966783509e-06,2.32579599177908e-05
"91",-1.14292309897653e-07,-4.67950422784444e-06,2.29620404051317e-05
"92",3.18508420331072e-08,-5.09308921439295e-06,2.3924115551987e-05
"93",6.40412096232329e-07,-3.46251292560009e-06,2.12754337245004e-05
"94",1.53582291812926e-06,-3.49695436298143e-06,2.16124085056237e-05
"95",-8.06237181570817e-07,-4.66438743559512e-06,2.40956903323244e-05
"96",1.80344797092098e-07,-4.306609235138e-06,2.33903341917305e-05
"97",1.00732539907767e-06,-3.64479797124541e-06,2.22028429941063e-05
"98",9.71083309964365e-07,-3.35708532332983e-06,2.01892241961441e-05
"99",5.85043893405904e-07,-4.34438586352487e-06,2.23328016738182e-05
"100",6.07790426349187e-07,-1.14987205947817e-06,1.7746422107049e-05
"101",5.71786986138987e-08,-3.37343041800293e-06,2.12860345045575e-05
"102",-3.19936660718951e-07,-3.20364922880019e-06,2.25238871429657e-05
"103",-5.79700405259874e-07,-3.43631456405688e-06,2.2058318493069e-05
"104",3.19156667622784e-07,-3.2395027693042e-06,2.11511121151273e-05
"105",7.61379191276324e-07,-3.79636895292658e-06,2.11834854927201e-05
"106",4.77671422795905e-07,-3.81323375853822e-06,2.13951544430627e-05
"107",4.11034818846766e-07,-1.28492347966954e-06,1.82029332076553e-05
"108",6.43227056992624e-07,-3.74337317576549e-06,2.11012470587089e-05
"109",6.16402929044285e-07,-2.77355700777609e-06,2.0467711992932e-05
"110",8.51318871059755e-08,-4.36166418278889e-06,2.38820351730914e-05
"111",-2.9954007860775e-07,-3.11175937999273e-06,2.09584290427326e-05
"112",5.58913901676748e-07,-3.21339562078889e-06,2.12258513721942e-05
"113",1.37009506731553e-07,-3.19536585372847e-06,1.98101562094423e-05
"114",1.18540832627364e-06,-2.78929916011282e-06,1.93838627914693e-05
"115",-5.87456671723505e-07,-1.70830104128699e-06,1.90930321563552e-05
"116",3.8851086994253e-07,-4.68289940728862e-06,2.34746598639297e-05
"117",-4.69208857211067e-07,-1.55557135660698e-06,1.87858858471015e-05
"118",1.69351721423724e-06,-1.51268841733035e-06,1.80704490043107e-05
"119",5.66597011366575e-07,-3.40851939228185e-06,1.99850924366281e-05
"120",5.4232079408929e-09,-3.91288890997756e-06,2.23112027204054e-05
"121",4.19537341064023e-07,-3.37008855242232e-06,2.0943402962271e-05
"122",-8.53161866579118e-07,-9.67617455602439e-07,1.7972273305248e-05
"123",-8.32515866981844e-08,-3.85966445746185e-06,2.23328137442578e-05
"124",2.67937418009483e-07,-4.95527998142596e-06,2.33540850628332e-05
"125",3.75267553047383e-07,-1.06549394822444e-06,1.78982455609508e-05
"126",1.20335857051272e-06,-5.84700033841757e-07,1.7277884054157e-05
"127",9.30063647773276e-07,-3.37307068084823e-06,1.99462518744594e-05
