"","V1","V2","V3"
"1",6.9871837782102e-07,-2.03232680255488e-05,3.95052617406298e-05
"2",1.51221910084297e-06,-1.9377584575689e-05,3.69334593625574e-05
"3",2.05980894753088e-06,-2.10856914395308e-05,3.99319193992838e-05
"4",2.52273980416244e-06,-1.99377635738938e-05,3.80874598741073e-05
"5",1.16093025901066e-06,-1.91617221967658e-05,3.78580065016892e-05
"6",1.73960175442258e-06,-2.19657274875809e-05,4.20559155168444e-05
"7",2.23224398301926e-06,-2.04577505191115e-05,3.957793599369e-05
"8",1.48176188272779e-06,-1.95200681820577e-05,3.9003050888455e-05
"9",1.14646385923685e-06,-2.05798165429574e-05,4.1453770305678e-05
"10",1.7514883578918e-06,-1.96002097763471e-05,3.81920824781364e-05
"11",2.04911297194197e-06,-1.92323887786369e-05,3.76103673020254e-05
"12",1.84594862388862e-06,-1.97380378835442e-05,3.9040708787642e-05
"13",2.53062623799927e-06,-2.20165310099226e-05,4.14169276159629e-05
"14",1.88214897635349e-06,-1.96123466078353e-05,3.90613082373666e-05
"15",2.18865405797231e-06,-1.99132702959887e-05,3.88111984466698e-05
"16",2.11570392558147e-06,-1.97473009005593e-05,3.78406941166332e-05
"17",2.66758988080445e-06,-2.05225469015229e-05,3.92331363380692e-05
"18",2.38606995583353e-06,-2.23791842435942e-05,4.24537199435037e-05
"19",1.68889164103421e-06,-1.99167978041061e-05,3.94736471417365e-05
"20",1.49868137760279e-06,-2.05690166472547e-05,4.14752801433816e-05
"21",5.45489059346831e-07,-2.05226758308925e-05,3.97005360803737e-05
"22",1.9588235650126e-06,-1.85351483066319e-05,3.6966893166396e-05
"23",2.0470911497179e-06,-2.25506706127815e-05,4.24687854431845e-05
"24",1.91398139985576e-06,-2.25651566134842e-05,4.3242226812242e-05
"25",1.99678231364653e-06,-2.14705180621019e-05,4.25440895839095e-05
"26",1.90067561297247e-06,-2.19319610980958e-05,4.21310421843915e-05
"27",2.24117411211563e-06,-2.06426557478016e-05,4.03101278010617e-05
"28",3.21127246829365e-06,-2.34629879122055e-05,4.30967369219372e-05
"29",2.63503035728821e-06,-2.22856350177392e-05,4.14417379925831e-05
"30",1.63023121217626e-06,-2.09863379517839e-05,4.09824111765667e-05
"31",1.4722674670405e-06,-2.11252937205192e-05,4.09063350779641e-05
"32",1.90394374202646e-06,-1.87981833846581e-05,3.76786935683888e-05
"33",1.37330875624235e-06,-1.90788228938109e-05,3.81636430421617e-05
"34",2.34088890771701e-06,-2.1634759129059e-05,4.15322063768047e-05
"35",1.69098098363505e-06,-1.92085958586711e-05,3.78627134243011e-05
"36",2.18840237206866e-06,-2.08833320437829e-05,4.01061803809088e-05
"37",1.69124244540797e-06,-2.12389609618948e-05,4.03070264869228e-05
"38",6.70291568223902e-07,-2.06370326699373e-05,4.24082003780007e-05
"39",1.79507161579434e-06,-1.85381385027552e-05,3.68798879717894e-05
"40",1.73617794397761e-06,-1.98190982665184e-05,3.90674013721356e-05
"41",1.95763389509342e-06,-2.27425230693528e-05,4.32030511671311e-05
"42",1.12881373562015e-06,-1.9984878738209e-05,4.03541382499738e-05
"43",1.93413494506434e-06,-2.15350919634234e-05,4.0173695792533e-05
"44",9.76624565742323e-07,-2.10107805837375e-05,4.08241850315667e-05
"45",2.11767994310463e-06,-2.1960742419972e-05,4.22763314079835e-05
"46",1.90726997036239e-06,-2.17023251343477e-05,4.2276571073875e-05
"47",2.41075736803938e-06,-2.05773969730504e-05,3.92960478806686e-05
"48",1.86435769574332e-06,-1.93534191898659e-05,3.74605254234804e-05
"49",2.42813507306748e-06,-2.06359326297295e-05,3.96813081485023e-05
"50",2.19626024332724e-06,-2.15224663540422e-05,4.13609432947605e-05
"51",2.18507227528034e-06,-2.25002365226627e-05,4.20067216262388e-05
"52",1.82439242616726e-06,-2.03545510123131e-05,3.90527001155746e-05
"53",2.08732343654956e-06,-2.0153441333484e-05,3.90885241591699e-05
"54",1.73328568278189e-06,-1.8789895665742e-05,3.69110302644843e-05
"55",1.60750824545116e-06,-2.14756054053541e-05,4.2138549622475e-05
"56",2.0586283240343e-06,-2.15913489754068e-05,4.2099591817875e-05
"57",1.54510130767407e-06,-1.92699128185759e-05,3.84033432876449e-05
"58",1.90602038671871e-06,-2.07785063126313e-05,4.02160288860239e-05
"59",1.92839120324404e-06,-2.09034976607342e-05,4.14798371095699e-05
"60",1.66000306369012e-06,-1.96322051470346e-05,4.0182035819079e-05
"61",1.45540863183481e-06,-2.2241017114744e-05,4.27251454112234e-05
"62",2.48003737714266e-06,-2.07732619972975e-05,4.00455611508184e-05
"63",2.4419385515227e-06,-2.08600299160964e-05,3.96171624428011e-05
"64",2.21664333174412e-06,-2.33201790976348e-05,4.40189636619376e-05
"65",1.93019626566749e-06,-2.00706046942915e-05,3.86504859407692e-05
"66",3.43070246528635e-06,-1.89070462861852e-05,3.64877056329046e-05
"67",2.68525740420537e-06,-2.18875070555145e-05,4.11554690845797e-05
"68",2.53949974028128e-06,-2.07690351555868e-05,3.95206295480344e-05
"69",2.42054143593324e-06,-2.21529301430964e-05,4.24866727381963e-05
"70",2.010633136778e-06,-2.02082030658604e-05,3.92782183278625e-05
"71",1.96420354349721e-06,-2.11705424535858e-05,4.01412483617109e-05
"72",2.70915532690045e-06,-2.16554464700788e-05,4.0769064230633e-05
"73",2.16951455031362e-06,-1.99830597998314e-05,3.8086026935764e-05
"74",3.70985342026307e-06,-2.35605237505022e-05,4.27705050560723e-05
"75",2.27596305231187e-06,-2.05249513549661e-05,3.99845298046893e-05
"76",1.81977582668872e-06,-1.9224359999446e-05,3.83544623653046e-05
"77",2.8831575024308e-06,-2.25235421988906e-05,4.15142465272521e-05
"78",2.06993832005363e-06,-1.95571653393769e-05,3.84518088444229e-05
"79",1.82334632633625e-06,-2.03982702580854e-05,3.9469991925144e-05
"80",3.37436462928039e-06,-1.89715072821494e-05,3.58688085684359e-05
"81",3.12804673110756e-06,-2.17270217725134e-05,4.00485547275425e-05
"82",1.96803605119052e-06,-2.04803983544817e-05,3.9134967463165e-05
"83",1.70377893833238e-06,-2.08560630701773e-05,4.09958071857318e-05
"84",2.224975960131e-06,-1.88799164973935e-05,3.68040995034065e-05
"85",2.60737858065007e-06,-2.09631989355933e-05,4.06584630707849e-05
"86",2.70753112989567e-06,-2.2793021055989e-05,4.31220074990891e-05
"87",1.58355921816341e-06,-1.85834817767599e-05,3.71990624748227e-05
"88",1.74188594886703e-06,-2.05452775212112e-05,3.9639354076021e-05
"89",1.26336018714556e-06,-2.00830494519303e-05,3.86824904631681e-05
"90",2.97172916809874e-06,-2.32388551816171e-05,4.26600903396067e-05
"91",3.04248217218321e-06,-2.2784207965124e-05,4.19867904580428e-05
"92",1.57576639604815e-06,-2.10967439352009e-05,4.12952267282962e-05
"93",2.03146603855459e-06,-1.91897478491118e-05,3.87841242025488e-05
"94",3.1905851384866e-06,-1.99586677705294e-05,3.76117281355975e-05
"95",3.15345720749563e-06,-1.85563837339172e-05,3.58323156665624e-05
"96",2.89383344535004e-06,-2.14574623196599e-05,4.1074933803481e-05
"97",1.59253651101927e-06,-2.16512827061555e-05,4.07582674193275e-05
"98",1.67520625451549e-06,-2.10083171313833e-05,3.95550060510498e-05
"99",2.25179903745051e-06,-1.96834187882199e-05,3.9064180176503e-05
"100",1.83265812433731e-06,-2.25609986525914e-05,4.34450632183808e-05
"101",1.94478281493473e-06,-1.97076428395445e-05,3.82810956894139e-05
"102",1.71724638771679e-06,-1.98192466999552e-05,3.95349876531191e-05
"103",2.13190243935059e-06,-2.20429966466049e-05,4.29935259537371e-05
"104",1.72575167812908e-06,-1.87614458666499e-05,3.69464659601716e-05
"105",3.3978579905467e-07,-2.2676824562276e-05,4.46139702790309e-05
"106",1.29837242100351e-06,-1.94025769252851e-05,3.88837860078633e-05
"107",2.82808210696503e-06,-2.20090867812192e-05,4.12679264683729e-05
"108",1.17914394109701e-06,-1.96033808880344e-05,3.9677682739643e-05
"109",1.68650951036411e-06,-2.2429301600538e-05,4.36609396866797e-05
"110",2.306425335762e-06,-2.27243778506765e-05,4.31285386034948e-05
"111",2.55012924609813e-06,-2.0721483523803e-05,3.93718082965675e-05
"112",2.98800054761736e-06,-2.07189029494685e-05,3.988501032193e-05
"113",2.05899905237832e-06,-2.19314494252855e-05,4.1881618781027e-05
"114",1.45801587246263e-06,-1.95794673695917e-05,3.97944616713589e-05
"115",1.94230945962962e-06,-1.87309349620714e-05,3.69539138169292e-05
"116",2.20673436440199e-06,-1.99515942029518e-05,3.91954102868308e-05
"117",1.7399795091703e-06,-1.93512903569617e-05,3.80519548165971e-05
"118",1.91884527588579e-06,-2.1988289654126e-05,4.33278259789473e-05
"119",1.88205310569046e-06,-2.11302462554101e-05,4.14337019496363e-05
"120",1.81335432849304e-06,-1.95824357741012e-05,3.88272737367095e-05
"121",2.42741050011054e-06,-2.06374093337735e-05,3.97575207185704e-05
"122",9.94167947376511e-07,-1.88114190795026e-05,3.79494417554767e-05
"123",1.6044491038937e-06,-2.15270282144603e-05,4.2319871317252e-05
"124",1.81494527937927e-06,-2.310080306076e-05,4.4219086194238e-05
"125",2.31436061886515e-06,-2.06361823080348e-05,3.92740913055562e-05
"126",2.93021798096597e-06,-2.14988162234617e-05,4.05726453567835e-05
"127",2.2717972772357e-06,-2.0062244105772e-05,3.84312923152446e-05
"128",1.43304036310192e-06,-2.36594205071659e-05,4.48419549331955e-05
"129",1.88631163961186e-06,-2.16556167005466e-05,4.10410723589399e-05
"130",1.02881127198984e-06,-1.86484001877435e-05,3.7799104392774e-05
"131",2.12044558895405e-06,-2.21380394800075e-05,4.23943991314538e-05
"132",1.94433092605899e-06,-1.9665489109095e-05,3.84159596268306e-05
"133",1.61846798021459e-06,-2.09692615397296e-05,4.01542927274404e-05
"134",1.9234142441823e-06,-2.04440979586588e-05,3.97240848818919e-05
"135",1.27138015477486e-06,-2.08220629554672e-05,4.09188412055887e-05
"136",1.99159448706033e-06,-2.25018240663238e-05,4.21400709844652e-05
"137",1.33568212604209e-06,-2.36591489917612e-05,4.57391833621409e-05
"138",2.16073318774612e-06,-2.0439574496467e-05,3.9347833949178e-05
"139",3.02356257162621e-06,-2.17457962235392e-05,4.03395801627291e-05
"140",2.20004451723248e-06,-2.04223695028483e-05,4.05476274574336e-05
"141",1.9322165321096e-06,-1.93643993651906e-05,3.81390598217377e-05
"142",3.0436507281608e-06,-1.929170159198e-05,3.82713742717161e-05
"143",2.33112677937685e-06,-2.2538472526397e-05,4.14869895133118e-05
"144",1.97366451933304e-06,-2.03501463239837e-05,4.02718317178955e-05
"145",1.97070099067513e-06,-1.91936241267089e-05,3.79405156074752e-05
"146",1.61944362714115e-06,-1.92720156554775e-05,3.80688095435276e-05
"147",1.98148683818686e-06,-2.09817470395712e-05,3.9755158218159e-05
"148",1.08619279480338e-06,-1.95806220084621e-05,3.84239979321666e-05
"149",2.07157167993914e-06,-2.14499612123832e-05,4.07973196558956e-05
"150",1.45347918663914e-06,-1.82302402694149e-05,3.69603170561896e-05
"151",1.94168856140339e-06,-2.02748695427228e-05,3.9230037254539e-05
"152",1.47713995520561e-06,-2.04208823259888e-05,3.93462126270436e-05
"153",1.81706241897284e-06,-2.09865506065011e-05,4.12639841737585e-05
"154",2.41173632748267e-06,-2.1927145469706e-05,4.12524877742564e-05
"155",2.61338818697313e-06,-2.27380339583945e-05,4.29483068628838e-05
"156",2.11833881109938e-06,-2.01597369183346e-05,3.94295117343626e-05
"157",1.8140597783987e-06,-1.9419204296245e-05,3.822010286775e-05
"158",1.24858931089696e-06,-2.13817434752134e-05,4.12209640561927e-05
"159",1.86662845369184e-06,-1.94454118417084e-05,3.84826597302691e-05
"160",2.95481278298788e-06,-2.20932823956758e-05,4.02154669947375e-05
"161",2.12011943191314e-06,-2.03106923156561e-05,3.94155617806005e-05
"162",1.9189136979279e-06,-2.06580339778819e-05,3.99455963353969e-05
"163",1.85053706606445e-06,-2.20829218929e-05,4.29264927727628e-05
"164",1.94524572843339e-06,-2.09610985778933e-05,4.05492547672553e-05
"165",2.64489067827241e-06,-2.15886401137087e-05,4.06712430069023e-05
"166",2.75118516080629e-06,-2.25236282771601e-05,4.13980012364037e-05
"167",1.14608387646417e-06,-2.01643273997473e-05,4.03941890106701e-05
"168",1.59842973575252e-06,-1.98678796688141e-05,3.88934575695208e-05
"169",3.22662024963841e-06,-2.05687838851801e-05,3.84455603538423e-05
"170",1.60611942051376e-06,-2.15340735251579e-05,4.11597049834496e-05
"171",2.07085327211358e-06,-1.91595870072634e-05,3.75153118602611e-05
"172",9.82308333561318e-07,-2.00475714226769e-05,3.97995788312165e-05
"173",1.80768047191423e-06,-2.04471064301646e-05,3.94791186841292e-05
"174",1.0912686585085e-06,-1.9035181336799e-05,3.87972547220204e-05
"175",2.55179855054185e-06,-2.02365343614088e-05,3.87152459897297e-05
"176",1.94837019125296e-06,-1.97956998052653e-05,3.91113090220209e-05
"177",1.51719932023092e-06,-1.93092200188914e-05,3.81736689521385e-05
"178",2.37381227334771e-06,-2.19378417347928e-05,4.1490478963177e-05
"179",2.62892334639118e-06,-1.93453717726371e-05,3.78853180759463e-05
"180",2.06623971676212e-06,-2.21194372955111e-05,4.21625236422967e-05
"181",1.22260192284454e-06,-2.02972906284487e-05,3.99434501581924e-05
"182",2.29071091032511e-06,-1.89369901868652e-05,3.8529527213552e-05
"183",1.93332003819533e-06,-1.92934851770061e-05,3.7733937534134e-05
"184",1.92944212641264e-06,-1.8357821690673e-05,3.67904036612815e-05
"185",1.99636973040844e-06,-1.9758097805141e-05,3.82551961766424e-05
"186",1.78584625580752e-06,-2.25997339953331e-05,4.2410328065274e-05
"187",9.32584309382749e-07,-2.00596997598707e-05,4.07467827644139e-05
"188",2.53998168112552e-06,-1.91505894945222e-05,3.72923433616596e-05
"189",1.41803726096944e-06,-2.033805147941e-05,4.06668636549598e-05
"190",1.73865193895532e-06,-2.01025033374713e-05,3.86114503180845e-05
"191",7.19356441280127e-07,-1.97363288972627e-05,3.87822676207199e-05
"192",2.42039084704303e-06,-1.96028037568501e-05,3.62327067916655e-05
"193",1.88037053680043e-06,-2.08522900121339e-05,4.11511315960511e-05
"194",2.27607607939255e-06,-2.02347054630726e-05,3.83027919861257e-05
"195",2.07573269094978e-06,-1.88757403210645e-05,3.82223370830758e-05
"196",2.52078073055157e-06,-1.86949398494901e-05,3.60984979872159e-05
"197",2.86389311670072e-06,-1.94538843029353e-05,3.73232856652602e-05
"198",2.15815563624798e-06,-2.22099510434076e-05,4.1952321097003e-05
"199",2.67330907479439e-06,-1.9097769457114e-05,3.7009822517148e-05
"200",2.45023160796402e-06,-1.94887806726538e-05,3.71461910507573e-05
"201",1.29291595098229e-06,-1.97854076496201e-05,3.98944089812442e-05
"202",2.02948249361782e-06,-2.12070591297936e-05,4.0518176199159e-05
"203",1.29524759851452e-06,-2.06614857732989e-05,4.07621987212814e-05
"204",1.66477379934736e-06,-1.96432790371438e-05,3.82556079457481e-05
"205",2.15491250409566e-06,-2.07804150168674e-05,3.9716226471794e-05
"206",1.79367504709848e-06,-1.98931214096916e-05,3.93354333213713e-05
"207",2.69412511966244e-06,-2.18902136489319e-05,4.1552853437396e-05
"208",1.82948691927088e-06,-1.97531525128751e-05,3.92300861845488e-05
"209",2.37149187742805e-06,-1.97179943124508e-05,3.81935057575342e-05
"210",1.62117861875044e-06,-2.00892951588088e-05,3.74978132514532e-05
"211",1.74195932122437e-06,-1.87346998764304e-05,3.72587314317131e-05
"212",2.08362293868803e-06,-2.096465875906e-05,3.98499202205525e-05
"213",1.88295722238786e-06,-1.96154886395143e-05,3.89823860968622e-05
"214",2.02046875033985e-06,-2.10860004947166e-05,4.07365553746046e-05
"215",1.77220471578444e-06,-2.20210192738278e-05,4.19928207868364e-05
"216",2.16375292120472e-06,-2.15050425429222e-05,4.13283332207403e-05
"217",2.44498969796791e-06,-1.97613001871047e-05,3.81767311672227e-05
"218",3.36349563454042e-06,-1.97350397828488e-05,3.74552272190386e-05
"219",1.57828984737693e-06,-2.17964611351357e-05,4.12909850718597e-05
"220",1.738460316475e-06,-1.94429019384424e-05,3.8230954700161e-05
"221",3.04058644409011e-06,-1.89451657317562e-05,3.61774639434036e-05
"222",3.1670769504949e-06,-1.98869340781371e-05,3.78374049631537e-05
"223",2.48285091500571e-06,-1.96345374912055e-05,3.83080357257146e-05
"224",1.99672733459457e-06,-1.96352052116073e-05,3.91258921030391e-05
