"","V1","V2","V3"
"1",8.69108023452081e-07,-8.09604788150095,1.47884671166205e-05
"2",1.12642069461947e-06,-6.21351072016867,1.21960213333034e-05
"3",-5.8449690230887e-08,-7.74998672081861,1.529517359752e-05
"4",5.78257913529554e-07,-6.18767940710129,1.29527419125682e-05
"5",1.20025967300947e-06,-7.31537149134926,1.34314201895946e-05
"6",1.13518242832823e-06,-8.04153378400395,1.50157246889966e-05
"7",1.09365206972505e-06,-8.37965962067684,1.5696356993266e-05
"8",3.99329597716985e-07,-5.92656769147157,1.22222879647002e-05
"9",1.48098757551271e-06,-6.96670792465903,1.32474548375768e-05
"10",7.10294095389182e-07,-7.302982977349,1.38968408730182e-05
"11",4.13251757360116e-07,-5.90204050158849,1.25968115468725e-05
"12",1.46531047728706e-06,-8.5199247729359,1.55163718515159e-05
"13",2.01791822325169e-06,-6.81979738477127,1.1983259263551e-05
"14",1.20492636588664e-06,-7.35724424013929,1.41139748827747e-05
"15",1.15566127093219e-06,-7.60181029680982,1.43157141167407e-05
"16",1.60954402779325e-06,-8.79859888717329,1.53548689831187e-05
"17",9.50242200950044e-07,-7.40254026086984,1.45340153940456e-05
"18",1.14958820305898e-06,-8.01378895188471,1.55702219862506e-05
"19",6.59202615609455e-07,-7.11054180623973,1.3766795002187e-05
"20",1.66135351478355e-06,-6.03300312832839,1.13058188557802e-05
"21",1.6332678570793e-07,-7.71393480391375,1.52641189791615e-05
"22",5.88202174407233e-07,-6.21468625065578,1.2587875501047e-05
"23",7.675184761098e-07,-8.06495655359308,1.50497382170692e-05
"24",6.73430387671032e-07,-7.9326483502106,1.54869594785313e-05
"25",1.23128699609563e-06,-8.10965522877876,1.49386781965081e-05
"26",1.55698873870993e-06,-6.50656526519772,1.2058558839342e-05
"27",6.00448156177069e-07,-9.02146154956193,1.7316592320269e-05
"28",7.50174437758533e-07,-8.40126182148602,1.58689884986636e-05
"29",2.98685077415282e-07,-6.74732987395101,1.37597332431195e-05
"30",7.52432372515411e-07,-6.0702212752527,1.18005927357932e-05
"31",1.69945471958862e-06,-8.10874511547761,1.49972355433435e-05
"32",1.25206496429086e-06,-6.65891298807835,1.24755794382067e-05
"33",1.02869324481125e-06,-7.2383661331584,1.40396882763447e-05
"34",2.19280776709656e-06,-6.98698386864384,1.27329914914449e-05
"35",1.52015005550306e-06,-5.54223309006578,1.06911063204143e-05
"36",1.27615059775856e-06,-8.04165443535365,1.55984441353305e-05
"37",1.88932680620376e-06,-9.9671386477792,1.73964677796163e-05
"38",7.79273014596956e-07,-8.17838427636146,1.53386185819864e-05
"39",8.68553832518783e-08,-6.43937583762948,1.26962090499553e-05
"40",1.00790924029384e-06,-4.47602904769662,9.29346192877357e-06
"41",1.6893802206757e-06,-7.10968916894595,1.31990423499447e-05
"42",9.82111705358396e-07,-8.71743109391447,1.62603131004561e-05
"43",1.37856970865207e-06,-6.89407019985022,1.31068574483127e-05
"44",5.55287041491339e-07,-6.05487588235406,1.30953999660165e-05
"45",1.64130345432759e-06,-8.14220355069767,1.44719746797778e-05
"46",5.91233826778614e-07,-8.44393210582142,1.63387139302124e-05
"47",1.10473020684678e-06,-6.48694910823341,1.24294968479494e-05
"48",6.51307794462474e-07,-8.00324658680114,1.52267101933794e-05
"49",5.46243006243727e-07,-6.50634851535718,1.32019768610735e-05
"50",4.49946838383816e-07,-7.88618237586294,1.54868132162086e-05
"51",7.78651456600726e-07,-6.04825585105663,1.25635453264342e-05
"52",1.7929402996229e-06,-8.47038672196051,1.54179205413684e-05
"53",1.23281152203171e-06,-6.1888727486654,1.21121322549255e-05
"54",5.01405616739933e-07,-6.48454899538252,1.21455058437426e-05
"55",7.4919678137867e-07,-9.26881473317166,1.69291615372106e-05
"56",1.11502727669034e-06,-5.76897106904092,1.138096544549e-05
"57",1.58120586296324e-06,-5.93685645306648,1.18152797069455e-05
"58",7.91656357271814e-07,-5.79032159718785,1.19735687858794e-05
"59",1.3396799064748e-06,-7.57217170246822,1.40042718932534e-05
"60",1.1785291084848e-06,-5.65868805376608,1.16192040034141e-05
"61",6.12495959708054e-07,-7.36532718836748,1.48859360314129e-05
"62",9.55747665760436e-07,-8.33069352186845,1.53664599212975e-05
"63",1.97334127946253e-06,-6.201601201089,1.13442333126923e-05
"64",1.06236375103206e-06,-8.44835954415415,1.62975903079366e-05
"65",5.26070548053546e-07,-6.54102955538152,1.30490396998664e-05
"66",7.12755798306557e-07,-7.30075711444294,1.38478115699873e-05
"67",5.40241262504978e-07,-7.49868342345144,1.49673421193514e-05
"68",-5.132530683638e-08,-8.15482269112287,1.55410862930671e-05
"69",1.14748395640913e-06,-7.90188760111743,1.54962809549048e-05
"70",1.03551836962903e-06,-7.18897764776935,1.36634072474321e-05
"71",3.4208322190932e-07,-8.57395952238255,1.63823560050593e-05
"72",1.50669891296162e-06,-8.11188896095864,1.49581028783773e-05
"73",2.07318635355431e-06,-9.66367295317531,1.59649564802022e-05
"74",-8.18654722494861e-08,-6.33544147547633,1.33832676588527e-05
"75",2.48903379787277e-08,-7.90855076568802,1.55896196157439e-05
"76",1.75406142875873e-06,-6.76279499586725,1.25592753163505e-05
"77",5.89219007834999e-07,-6.42325386334747,1.29463118211971e-05
"78",2.01689457801502e-06,-7.07814853574791,1.28646164473048e-05
"79",3.27786288344829e-07,-7.00928848896772,1.39929832282591e-05
