"","V1","V2","V3"
"1",1.02922715988379e-06,-6.85177307052996,2.50361204815801e-05
"2",1.03154950565265e-06,-7.95973384476991,2.67947100879586e-05
"3",7.68072635691549e-07,-8.70601503250394,2.84458628445419e-05
"4",1.7548349951308e-06,-10.2146548099181,3.03052067675842e-05
"5",1.66082021424364e-06,-9.55825864703525,2.91680373328468e-05
"6",1.51902532663385e-06,-9.58758429226272,2.78550486485412e-05
"7",1.63167578495774e-06,-8.56732606238831,2.84900819131376e-05
"8",1.18817704963872e-06,-9.82446763854893,3.01687125189018e-05
"9",2.02635518794056e-06,-7.69706017488714,2.60997752056505e-05
"10",1.44237163957113e-06,-7.95801236196781,2.6282435552602e-05
"11",1.55491592872061e-06,-7.47717185782833,2.5072886098141e-05
"12",1.00805550590474e-06,-8.47425003899271,2.81085550992511e-05
"13",1.92472824500486e-06,-10.0750484650586,2.98067914065402e-05
"14",1.35562049794911e-06,-7.62907379667708,2.63394212057678e-05
"15",1.84738139289357e-06,-9.6161724467503,2.9270596723617e-05
"16",1.38404660914692e-06,-7.51564195723354,2.56912703703524e-05
"17",1.2885304390668e-06,-8.61472005398563,2.71063332058472e-05
"18",1.02102901168974e-06,-10.0134912932925,3.02399363763256e-05
"19",1.18483144998645e-06,-7.78170174899136,2.6689094660942e-05
"20",1.55601627017934e-06,-10.1717374979194,3.05992931575676e-05
"21",1.02405122017783e-06,-6.89284914047314,2.49241181503274e-05
"22",1.39401101126093e-06,-7.38004556195687,2.50645904803026e-05
"23",1.55806554155592e-06,-7.43257092525495,2.58537426963157e-05
"24",1.99384369787375e-06,-7.90634241033546,2.61306605995276e-05
"25",1.40853808873815e-06,-10.0986408036273,2.99423753243829e-05
"26",1.35252428253794e-06,-7.47115503452035,2.67093285709781e-05
"27",7.03543708185704e-07,-8.3116398697027,2.81675534867253e-05
"28",1.52400959797785e-06,-9.67955404474971,3.03832370363447e-05
"29",2.26494831791686e-06,-8.83870550587678,2.72804662337601e-05
"30",1.80383945756311e-06,-8.12562609629259,2.7870738543043e-05
"31",1.09515490920321e-06,-9.01924447234014,2.93675633836809e-05
"32",2.39524421647772e-06,-8.98678219220127,2.80566289083959e-05
"33",1.20186172066283e-06,-8.89489969196698,2.86657470037419e-05
"34",8.56252812632364e-07,-9.08626455238638,2.83196849970961e-05
"35",1.08952094492985e-06,-9.03978575710791,2.85781761743355e-05
"36",1.54640516568809e-06,-8.6276370919407,2.79877150437053e-05
"37",1.54294014921985e-06,-7.96202497130952,2.68343386399429e-05
"38",1.51012543487009e-06,-10.4398723811409,2.98921428995289e-05
"39",2.22338402255137e-06,-7.55869418797012,2.53864409869388e-05
"40",1.21746307365814e-06,-10.5487871447965,3.14367344039127e-05
"41",7.97918491462563e-07,-8.48181224421612,2.82392475808693e-05
"42",1.18074954693749e-06,-6.92250071268392,2.47536984525568e-05
"43",1.94750265412989e-06,-9.45170896844549,2.876001673179e-05
"44",1.60027979685611e-06,-8.567602062026,2.71652026758571e-05
"45",1.3925791307779e-06,-7.64728560055258,2.58983295168104e-05
"46",1.22174123857447e-06,-8.68669150768518,2.76615914935045e-05
"47",1.82583460121345e-06,-7.71233686382521,2.53934496657828e-05
"48",1.10960078618709e-06,-6.93587693274483,2.49529504092795e-05
"49",1.2691531931258e-06,-7.50037754826316,2.56498722224704e-05
"50",1.70653778433049e-06,-9.11374647589875,2.91365116148226e-05
"51",1.39546993633626e-06,-8.37525628320576,2.74222802800193e-05
"52",1.20330188470218e-06,-8.49140512807103,2.75846951653638e-05
"53",5.38988713558577e-07,-6.79612371788045,2.4887394847001e-05
"54",1.42195801229425e-06,-9.80115660172971,3.00363705331937e-05
"55",1.12823095163149e-06,-7.83662037288735,2.59964081484627e-05
"56",9.9404166745968e-07,-8.4473135677452,2.76738993520861e-05
"57",1.44342394868815e-06,-8.13142849126346,2.59534542660952e-05
"58",1.12983448234714e-06,-7.42649755102668,2.59616946035743e-05
"59",1.49044670212289e-06,-10.7219858354567,3.08848687298825e-05
"60",1.76590350783623e-06,-9.09837038855937,2.78036943091701e-05
"61",1.90086436848343e-06,-9.94838218027025,2.98501484572892e-05
"62",1.30187749575416e-06,-6.91177231690887,2.47082167798759e-05
"63",1.26396122918174e-06,-8.07158040956518,2.6939173160065e-05
"64",1.02953848068491e-06,-7.31433442774493,2.64565085882076e-05
"65",9.40170316293062e-07,-9.51284498781754,2.86151560252985e-05
"66",8.32711692673525e-07,-9.05748467205117,2.89237358798994e-05
"67",1.08723547740089e-06,-9.14528893920537,2.89850967425523e-05
"68",1.97391636143837e-06,-7.45259881722771,2.44922631989446e-05
"69",1.43966897702814e-06,-8.63842606855258,2.82932796019937e-05
"70",1.58049227206858e-06,-8.73376216306134,2.88705829608887e-05
"71",1.39445663223726e-06,-7.96225079408557,2.70280818683435e-05
"72",2.01114940063427e-06,-7.34847174298903,2.48476319927057e-05
"73",1.25721273026639e-06,-10.512843425041,3.00555882556567e-05
"74",1.09463425335401e-06,-10.2871253614732,3.02532887402704e-05
"75",1.49929211908265e-06,-9.54175212839207,2.93539254609839e-05
"76",1.14628163227999e-06,-9.92521458855374,3.00730163304268e-05
"77",1.60833568505995e-06,-9.24017783467637,2.88664680811881e-05
"78",9.30373737999772e-07,-8.49543781925259,2.76844490093485e-05
"79",1.35187208142966e-06,-9.53580376008128,2.95729988826763e-05
"80",1.01443605742264e-06,-5.81399689995712,2.3248807976787e-05
"81",5.14961664219508e-07,-8.52020712603527,2.7984573474253e-05
"82",7.47870088127707e-07,-9.43322082912976,2.9831725335528e-05
"83",8.89758631381772e-07,-6.71704045275248,2.41924139464774e-05
"84",1.87215139238433e-06,-8.67417789685054,2.86416894055921e-05
"85",1.15359575673175e-06,-9.4192055512433,2.89519847861814e-05
"86",1.07610358958672e-06,-9.44558966602161,2.88404603006842e-05
"87",1.92148950467047e-06,-8.02042698201149,2.69677576161911e-05
"88",2.09533980764069e-06,-10.141849012044,2.9440323397387e-05
"89",1.50825867026244e-06,-5.40369236119952,2.26583067515706e-05
"90",1.61320080105653e-06,-6.46856086195214,2.46414741966148e-05
"91",8.50012429441142e-07,-9.98930197987375,2.98458266585638e-05
"92",2.43644690584637e-06,-7.79956993703281,2.58063950659195e-05
"93",9.83514875604385e-07,-8.35161741910611,2.72206338997594e-05
"94",1.77536781498058e-06,-9.85061256826397,3.02718950059571e-05
"95",1.06811349675031e-06,-6.97556424244777,2.48424724812127e-05
"96",1.67392467541059e-06,-7.64151218378453,2.52078158101276e-05
"97",1.37333736796791e-06,-10.1682759143114,3.01966200207028e-05
"98",1.59066082352958e-06,-7.7174148988478,2.53855038335551e-05
"99",1.14098915613322e-06,-7.85936230394178,2.67802677196362e-05
"100",1.61554947006331e-06,-8.59426108634749,2.73444814273751e-05
"101",1.41587752449731e-06,-10.2886357270542,3.06287694532843e-05
"102",1.49583326681584e-06,-5.46056464790488,2.25644618733373e-05
"103",1.51183654502422e-06,-8.451959602513,2.77586125511486e-05
"104",7.11868722670304e-07,-10.1970965065228,3.11109401867117e-05
"105",1.98110225922198e-06,-10.850272774812,3.17659772456613e-05
"106",1.23529521743028e-06,-9.02214937600764,2.83949096703201e-05
"107",1.89355604573547e-06,-8.76700305705306,2.89242705971867e-05
"108",1.73066461059786e-06,-10.2994848306889,3.035814322715e-05
"109",1.95175703807835e-06,-8.04663549726141,2.6535204788572e-05
"110",1.59639362165822e-06,-9.50135898000848,2.87522517902267e-05
"111",1.43623348590028e-06,-9.07393961407323,2.96608924331444e-05
"112",1.00930955355836e-06,-10.1611169315602,2.94671899295874e-05
"113",1.850789439531e-06,-9.47554022421223,2.95942679767639e-05
"114",8.80850882490308e-07,-8.30450365835181,2.70909143799426e-05
"115",2.05457786753934e-06,-10.0752319190265,2.91451054131113e-05
"116",1.47099343988026e-06,-9.20798312362546,2.86111367549833e-05
"117",1.27450799593114e-06,-7.05517633646479,2.52490868903936e-05
"118",1.87251180976325e-06,-6.2950110417051,2.39192582990861e-05
"119",1.2030481127153e-06,-8.87335418538169,2.87538221921288e-05
"120",1.86600173566524e-06,-7.17534531235077,2.47678714088369e-05
"121",1.81198414797159e-06,-9.4327656947089,2.85584274223763e-05
"122",1.78642599838177e-06,-7.55198961992198,2.49934615614662e-05
"123",1.0327398481678e-06,-7.74171706961543,2.66427730974129e-05
"124",8.4135737813143e-07,-7.14545270506149,2.52573336540682e-05
"125",1.63246611136878e-06,-8.27894759196738,2.70154100867422e-05
"126",1.22614698374271e-06,-7.99013033451578,2.65554641003448e-05
"127",1.51182934956858e-06,-8.73284648961785,2.8963616899166e-05
"128",1.10308842646688e-06,-7.9375906386059,2.74894892392424e-05
"129",1.76078010660557e-06,-9.15076001888973,2.78792692185123e-05
"130",2.39422866677616e-06,-8.69687094472097,2.75606001634043e-05
"131",7.58007813766414e-07,-7.7425428620185,2.68382375119089e-05
"132",7.03047833775587e-07,-8.18643435348452,2.79839156054267e-05
"133",1.39125395112779e-06,-6.68356059562211,2.48277678985558e-05
"134",1.36079590618551e-06,-5.61375809567569,2.30002935736333e-05
"135",9.57670135614364e-07,-7.2358788152792,2.52335086552395e-05
"136",1.67942238938357e-06,-9.61587578558236,2.96197115220357e-05
"137",1.63916922757934e-06,-9.16781117703754,2.86072429371154e-05
"138",1.41282076446444e-06,-9.89315263057718,3.01114462950477e-05
"139",1.4509978138188e-06,-7.82560728204898,2.705499031031e-05
"140",1.53685425435126e-06,-10.7206544125399,3.14844299435266e-05
"141",1.57491627668061e-06,-9.9854654557295,3.04276425932102e-05
"142",1.62806114194271e-06,-7.24448160379812,2.55889062913475e-05
"143",1.15279445157744e-06,-7.69284121089698,2.67146134538847e-05
"144",1.78420391941484e-06,-10.7591894678049,3.16103799624164e-05
"145",7.34157140811755e-07,-9.52611517311883,3.08800339982017e-05
"146",1.61713814382591e-06,-8.77594907879143,2.86617183957516e-05
"147",1.73559919933869e-06,-10.4609274172361,2.97576697476127e-05
"148",1.22063565436314e-06,-9.37073000438959,2.97348993709068e-05
"149",1.68651977698479e-06,-7.78420765699404,2.57491371804156e-05
"150",1.4645915916077e-06,-9.20647358516541,2.79327523727828e-05
"151",1.35339187623934e-06,-9.16801657357392,2.78541534197518e-05
"152",1.80019309044762e-06,-9.64959419407916,2.98498641173614e-05
"153",1.71300219577934e-06,-8.71976031292857,2.74174651900482e-05
"154",1.10719987448937e-06,-9.54742710252132,3.00461097888795e-05
"155",1.1934002408206e-06,-8.28887910038568,2.8166497792725e-05
"156",2.14769390399287e-06,-9.20836264518309,2.84622014517026e-05
"157",7.09247547364572e-07,-9.13386636908679,2.96135756656889e-05
"158",1.77209206276805e-06,-9.69363339159776,2.99029924370183e-05
"159",9.61259401710759e-07,-8.38868281186927,2.72969130832655e-05
"160",1.92892138466935e-06,-8.19667054471648,2.61976307562597e-05
"161",1.44558781918426e-06,-7.71868376495442,2.68379634816327e-05
"162",1.56594215452005e-06,-9.14047130599376,2.89195968559595e-05
"163",1.56280226370488e-06,-9.95053482626312,2.93355720259218e-05
"164",2.19761074224162e-06,-9.0425060538693,2.8445125570155e-05
"165",1.17024588045733e-06,-9.99011692172204,2.98908182237201e-05
"166",1.97343214797193e-06,-9.95809937672198,2.95311535913664e-05
"167",1.97840424077723e-06,-10.1342192600996,3.00707887674675e-05
"168",1.22844759427697e-06,-9.52148826566547,2.98184981171981e-05
"169",1.61513975697824e-06,-6.1678701073273,2.32736239189823e-05
"170",1.57207873273123e-06,-10.1247357909249,3.06783089098144e-05
"171",1.62681006616374e-06,-7.94075973054825,2.62744761402229e-05
"172",1.82108029331457e-06,-8.10435632220566,2.5945598692996e-05
"173",1.43154064353115e-06,-7.90182414925553,2.6323412379052e-05
"174",8.30645650841185e-07,-8.7475516444704,2.85865696866418e-05
"175",1.33771152939953e-06,-9.46397878081554,2.93794768268006e-05
"176",1.79619946449534e-06,-8.10670570503813,2.6129115553102e-05
"177",1.414791236195e-06,-9.59829319820446,2.92934349926882e-05
"178",2.11608519106694e-06,-9.04491887167859,2.77712058814374e-05
"179",1.41773049128335e-06,-8.10836205433182,2.76389358548608e-05
"180",1.66679738591207e-06,-9.42360334034708,2.90240426071921e-05
"181",2.11336626853515e-06,-7.72497281777216,2.64261932072473e-05
"182",6.74693026315353e-07,-10.1121451876236,3.11920942608834e-05
"183",2.19993807343289e-06,-7.53964550034205,2.54713390345244e-05
"184",1.03659431654325e-06,-9.15036094802305,2.93935448144408e-05
"185",1.91647925580585e-06,-9.75757683927805,2.84763331373933e-05
"186",8.5360708285058e-07,-7.8436431336493,2.68459498556023e-05
"187",1.28825953624897e-06,-8.92318522650226,2.90427825976132e-05
"188",7.97302963290547e-07,-9.23807645065418,2.82656840620931e-05
"189",8.44155600381083e-07,-8.7380247395769,2.84252387612402e-05
"190",1.60766272195669e-06,-10.2639266317177,3.03842094612371e-05
"191",9.3889550601681e-07,-7.66115982204237,2.7500620110974e-05
"192",1.53534704791949e-06,-8.95596956920535,2.77455637275552e-05
"193",1.60844447396498e-06,-7.18400703737915,2.44525450348698e-05
"194",1.15949854722033e-06,-7.91694393083757,2.67896604179727e-05
"195",7.27573620638855e-07,-7.87299569566749,2.7560000075934e-05
"196",1.68310445138163e-06,-9.44530591329912,2.88222512378432e-05
"197",6.9687120296648e-07,-7.0684262870328,2.46240084029699e-05
"198",1.95629325325442e-06,-9.32267494168926,2.86936629912858e-05
"199",7.87335343515696e-07,-10.1868922155311,2.99281092930755e-05
"200",1.43459333841667e-06,-7.57985695800871,2.60609519741941e-05
"201",1.23737669095007e-06,-10.0237491795109,2.98682847779191e-05
"202",6.56957407119542e-07,-8.75951549524091,2.97042154739261e-05
"203",6.04793019558523e-07,-10.0446529869471,3.04923308330736e-05
"204",1.40223255327123e-06,-7.4092261492977,2.54635241424132e-05
"205",1.34411732380766e-06,-8.59179395727324,2.82874633520303e-05
"206",2.47597706269837e-06,-7.67445844355418,2.59068615911245e-05
"207",1.09019550858701e-06,-7.46170831293476,2.5656501205991e-05
"208",1.17805324653095e-06,-7.11108659701002,2.53994819238855e-05
"209",1.25147836882599e-06,-8.7444777559717,2.89300270521903e-05
"210",1.83231786201331e-06,-7.75916290893736,2.6509318641781e-05
"211",1.78668293921333e-06,-8.02199032820096,2.65589470899025e-05
"212",8.76796885920134e-07,-8.63121051305914,2.74853727810486e-05
